player,comment,media
vinijr,Vini AMA MADRID  Hay uno solo ,instagram
vinijr,E o Brasil ama o Vini ,instagram
vinijr,Hermanito,instagram
vinijr,Vini siempre ,instagram
vinijr,Madrid AMA vinijr ,instagram
vinijr,Corre animal ,instagram
vinijr,LETS GOOOOOO,instagram
vinijr,Baila irmão ,instagram
vinijr,Te amooooo tu é brabo ,instagram
vinijr,Vini hay uno solo ,instagram
vinijr,Deus honra o justo ,instagram
vinijr,felicidade nego ,instagram
vinijr,Bailaaaa ,instagram
vinijr,Baila Mlk vini ,instagram
vinijr,Nosso dançarino  ,instagram
vinijr,Brabo ,instagram
vinijr,Craque,instagram
vinijr,Monstro ,instagram
vinijr,Monstro,instagram
vinijr,Braboooooo ,instagram
vinijr,Pra cima sempre ,instagram
vinijr,eu emociono ,instagram
vinijr,Vamos,instagram
vinijr,é isso meu manoooo,instagram
vinijr,Baila vini,instagram
vinijr,karimbenzema officialpepe vinijr,instagram
vinijr,Vem jogar no CURINTHIANS ,instagram
vinijr,cheers Vini dont think about everyone who insults you we really idolize you here,instagram
vinijr,get out from real madrid,instagram
vinijr,anuvindr  evde muthe,instagram
vinijr,jogador  carooo,instagram
vinijr,eres el causante de todos los desastres que pasan en el Real Madrid eres el causante de tropiezos y tristezas los adultos se afligen y los niños lloran por tu insignificancia por ti el Barcelona amplió la diferencia a cinco puntos Los madridistas nunca te lo perdonarán,instagram
vinijr,Pra cima meu caroto,instagram
vinijr,HALA MADRID VINIGOD   ,instagram
vinijr,Vc é dez meninoContinua firme e forteInfelizmente o sucesso incomodaVc é excelente jogador Deixa pra lá entãoessas palavras de gente sem noção Os brasileiros estão torcendo por todos vcs aí fora Vai craquetu és show de bola e ninguém muda isso,instagram
vinijr,Youre literally just trash player and you should go to clubs like Cadiz and besiktas,instagram
vinijr,Você sabe jogar futebol Um menino joga melhor que você,instagram
vinijr,NAÇÃO AMA VINI,instagram
vinijr,Overrated player pls go another club,instagram
vinijr,You cant score,instagram
vinijr,Caráter pequeno a vida cobrará sempre Continua dançando e continuaremos sendo seu pesadelo,instagram
vinijr,Papoite,instagram
vinijr,Vini is fcck,instagram
vinijr,Play football or go ur home u only dancing on the stadium  we want a goal in the match and u want a beautiful goal shame on u to wear RealMadrid shirt,instagram
vinijr,out,instagram
vinijr,Pecho frio sobrevalorado,instagram
vinijr,Outttttt,instagram
vinijr,Bro mejoras y vuelves a tu prime de la anterior temporada o mbappe te quitara el puesto y el siguiente entrenador te pondra en banca,instagram
vinijr,You are a joy to the football world Your qualities and passion shine like a bright star in a dark sky Racists will not tell your story You will tell your story The football world is large but small in community You will rise above the ignorance and bring happiness to the real supporters of this beautiful sport On and off the pitch you are an example of goodness Keep on and stay strong VAI VINNY ,instagram
vinijr,Menudo PAQUETE estás hecho ,instagram
vinijr,eres el causante de todos los desastres que pasan en el Real Madrid eres el causante de tropiezos y tristezas los adultos se afligen y los niños lloran por tu insignificancia por ti el Barcelona amplió la diferencia a cinco puntos Los madridistas nunca te lo perdonarán,instagram
vinijr,Lord vini please GET OUT FROM MADRID,instagram
vinijr,vinijr APRENDE A DEFINIR FCK,instagram
vinijr,خوش درخشیدی دمت گرم,instagram
vinijr,Que esse atlético de Madri tome naquele lugar fica fazendo racismo com meu Vini e as pessoas não fazem nada que eles tomem naquele lugar,instagram
vinijr,EL MUNDO ODIA AL REAL,instagram
vinijr,DE CRACK A LEYENDA,instagram
vinijr,Menino alguma providência tem que ser tomada Já percebemos que a Espanha está fechando os olhos para o racism Nós brasileiros ficamos ofendidos pelo que estão fazendo contigo,instagram
vinijr,Vamo viniiii ,instagram
vinijr,Bailaaa Vinii,instagram
vinijr,Te ríes cuando te comes un gol,instagram
vinijr,THAT GOAL ,instagram
vinijr, show them Vini ,instagram
vinijr,He scored a goal and hes dancing I didnt like it Im going to try to ridicule him Vini ,instagram
vinijr,U est un joueur exceptionnel,instagram
vinijr,Y España te odia ,instagram
vinijr,Solo te falta puntería vini vamos no es tan difícil ,instagram
vinijr,VINI VC É UMA LENDA ,instagram
vinijr,The next time you score against them pull your cock out to their fans please,instagram
vinijr,Flamengo melhor que Real Madrid,instagram
vinijr,httpsyoutubepSpoAoPpmp44v4 subseveryone,instagram
vinijr,Vini malvadao ,instagram
vinijr,BailaViniJr,instagram
vinijr,Baila ,instagram
vinijr,Madrid solo tiene un color,instagram
vinijr,semangatt vini,instagram
vinijr,Vini vem baila aqui no Corinthians ,instagram
vinijr,Vini te queremos ,instagram
vinijr,Baila vini,instagram
vinijr,Buenisima,instagram
vinijr,vamos viniiiii ,instagram
vinijr,Baila Vini,instagram
vinijr,eres bonico eh jajajajajajaj,instagram
