player,comment,media
vinijr,Vini Ama Madrid there is only one,instagram
vinijr,And Brazil loves Vini,instagram
vinijr,Little brother,instagram
vinijr,Vini always,instagram
vinijr,Madrid Ama Vinijr,instagram
vinijr,Corre animal,instagram
vinijr,LETS GOOOOOO,instagram
vinijr,Ball brother,instagram
vinijr,You amooooo you are angry,instagram
vinijr,Vini Hay only one,instagram
vinijr,God honors the righteous,instagram
vinijr,Happiness Nego,instagram
vinijr,Balaelaaa,instagram
vinijr,Baila mlk vini,instagram
vinijr,Our dancer,instagram
vinijr,angry,instagram
vinijr,Cracked,instagram
vinijr,Monster,instagram
vinijr,Monster,instagram
vinijr,Braboooooo,instagram
vinijr,Always,instagram
vinijr,I emine,instagram
vinijr,Let's go,instagram
vinijr,That's my manoooo,instagram
vinijr,Bila wide,instagram
vinijr,Karimbenzema Officialpepe Vinijr,instagram
vinijr,Come play at Corinthians,instagram
vinijr,cheers Vini dont think about everyone who insults you we really idolize you here,instagram
vinijr,get out from real madrid,instagram
vinijr,Anuvindr Evde Muthe,instagram
vinijr,Player,instagram
vinijr,"You are the cause of all the disasters that pass in Real Madrid you are the cause of stumbling and sorrows, adults are afflicted and children cry for your insignificance for you Barcelona expanded the difference to five points. Real Madrid players will never forgive you",instagram
vinijr,Up my boy,instagram
vinijr,Many Madrid Vinigod,instagram
vinijr,You are ten meninocontinua firmly and strongly informed the success incomodavc is excellent player let it be there so these words of clueless people are cheering for all of you out there will cracku is a ball show and nobody changes it,instagram
vinijr,You're literally just trash player and you should go to clubs like Cadiz and besiktas,instagram
vinijr,You know how to play soccer a boy plays better than you,instagram
vinijr,Nation AMA VINI,instagram
vinijr,Overrated player pls go another club,instagram
vinijr,You cant score,instagram
vinijr,Small character Life will always charge dancing and we will continue to be your nightmare,instagram
vinijr,Papite,instagram
vinijr,Wine is fcck,instagram
vinijr,Play football or go ur home u only dancing on the stadium  we want a goal in the match and u want a beautiful goal shame on u to wear RealMadrid shirt,instagram
vinijr,out,instagram
vinijr,Overvalorado cold chest,instagram
vinijr,Outttttt,instagram
vinijr,ERROR,instagram
vinijr,You are a joy to the football world Your qualities and passion shine like a bright star in a dark sky Racists will not tell your story You will tell your story The football world is large but small in community You will rise above the ignorance and bring happiness to the real supporters of this beautiful sport On and off the pitch you are an example of goodness Keep on and stay strong VAI VINNY,instagram
vinijr,ERROR,instagram
vinijr,"You are the cause of all the disasters that pass in Real Madrid you are the cause of stumbling and sorrows, adults are afflicted and children cry for your insignificance for you Barcelona expanded the difference to five points. Real Madrid players will never forgive you",instagram
vinijr,Lord vini please GET OUT FROM MADRID,instagram
vinijr,Vinijr learns to define fck,instagram
vinijr,Good luck,instagram
vinijr,May this athletic Madrid take in that place is doing racism with my Vini and people do nothing they take in that place,instagram
vinijr,The world hates real,instagram
vinijr,From crack to legend,instagram
vinijr,Boy some action has to be taken already realize that Spain is closing our eyes to Racism we Brazilians are offended by what they are doing with you,instagram
vinijr,Viniiii,instagram
vinijr,Hearing byla,instagram
vinijr,You laugh when you eat a goal,instagram
vinijr,THAT GOAL,instagram
vinijr,show them Vini,instagram
vinijr,He scored a goal and hes dancing I didnt like it Im going to try to ridicule him Vini,instagram
vinijr,U is an exceptional player,instagram
vinijr,And Spain hates you,instagram
vinijr,You just lack aim vini we are not so difficult,instagram
vinijr,Vini vi is a legend,instagram
vinijr,The next time you score against them pull your cock out to their fans please,instagram
vinijr,Flamengo better than Real Madrid,instagram
vinijr,httpsyoutubepSpoAoPpmp44v4 subseveryone,instagram
vinijr,Vini Malvadao,instagram
vinijr,Balvinizer,instagram
vinijr,Dance,instagram
vinijr,Madrid only has one color,instagram
vinijr,semangatt vini,instagram
vinijr,Vini Come Baila here at Corinthians,instagram
vinijr,Vini we love you,instagram
vinijr,Bila wide,instagram
vinijr,Great,instagram
vinijr,Let's go viniiiii,instagram
vinijr,Bila wide,instagram
vinijr,you are bonico eh hahajajajajaja,instagram
vinijr,Força Barça,instagram
vinijr,You are a warrior,instagram
vinijr,I love you,instagram
vinijr,Our monster,instagram
vinijr,Let's Vini,instagram
vinijr,GIGANTE,instagram
vinijr,And we love you,instagram
vinijr,Monster,instagram
vinijr,A machine,instagram
vinijr,Better,instagram
vinijr,You are giant mlk,instagram
vinijr,Little Neymar JR,instagram
vinijr,Monster,instagram
vinijr,Kaale,instagram
vinijr,Hala Baliid,instagram
vinijr,Come,instagram
vinijr,S,instagram
vinijr,Baila my baila bro,instagram
vinijr,Bello naksion,instagram
vinijr,Lindooo,instagram
vinijr,And Madrid loves Vini,instagram
vinijr,I love you wines,instagram
vinijr,Baila Boy Baila,instagram
vinijr,Hey Vini tries instead of hitting the goal straight the goalkeeper,instagram
vinijr,Draft,instagram
vinijr,Strength,instagram
vinijr,Ficticius is coming Mbappe grabrate,instagram
vinijr,Too many Vini,instagram
vinijr,Falla wine falla,instagram
vinijr,Vini loves Madrid Mengão loves Vinicomo is this story there in morrocco,instagram
vinijr,I love you dance and dance,instagram
vinijr,A shame vaunted player,instagram
vinijr,Penaldoofc is wanting attention comedy,instagram
vinijr,"I love you, I don't care that we are men, I am always sleepy with you",instagram
vinijr,Magic,instagram
vinijr,Vini Your purpose in life goes beyond dance to play football is a purpose for love to prevail and racism at least decrease you are giant,instagram
vinijr,Here the comment of a friend a friend you have never seen but who admires you too much you do not know of my existence do not know me and may never happen here to wish you strength right now so that you know that you know that youIt is much much bigger than this you are amazing and your desire to smile can never end you are too much Vini keep fighting and in the worst cases come home the mengao waits for you love you,instagram
vinijr,"Vini I am the father of a 6 -year -old boy who was in the stadium with a banner and you had told him that later you gave it to him that with all the final subdon you could not remember my son I have my son crying because you did not remember you are his idolI followed you with my son from the hotel then he arrived in the field and finally to the countryI make memory if you would see him, I am only a father who tries to fulfill the dream of his son and hala madrid",instagram
vinijr,You are the best in the world brother,instagram
vinijr,Strong Vini today,instagram
vinijr,Vini Jr breaks in the game soon leaves the board to solve the extra field problems,instagram
vinijr,Show the who you are tonight,instagram
vinijr,Vini forces,instagram
vinijr,The next best in the world,instagram
vinijr,We love you Vini,instagram
vinijr,We love you Vini,instagram
vinijr,My idol,instagram
vinijr,Brother good morning I'm a bug of são gonçalo also greetings gonçalense dude I'm following this hard situation that you are living in Spain but man I can tell you if you leave the real because of this will open spaces for any rival fan anywhere in the world hostileAgain this because they saw your weak point do as others ignores these people who have not matured try to forget this you are greater than these words uttered against you God put you to shine not to be overshadowed by racists think about it God bless you and your whole family,instagram
vinijr,I'm in love with you,instagram
vinijr,Do not score against our Mengão please kkkkk,instagram
vinijr,Animal,instagram
vinijr,cracked,instagram
vinijr,who can win ballon dOr in the future,instagram
vinijr,Pretend injury if it is fla x real in the final and puts something in the drink of Modric Courtois and Benzema never asked you anything,instagram
vinijr,Dance Vini,instagram
vinijr,HAPPY BIRTHDAY BROTHER,instagram
vinijr,Bila vine jer,instagram
vinijr,Wonderful amazing beautiful beautiful beautiful beautiful,instagram
vinijr,VC is a peak,instagram
vinijr,King heard,instagram
vinijr,Let's go,instagram
vinijr,Beautiful male my male my maach9 that machao there what male,instagram
vinijr,you're the best,instagram
vinijr,Mamita dear what you want vini,instagram
vinijr,Vamoooos vini to put the batteries that you are not at your best is time to make goals,instagram
vinijr,Mostroooo,instagram
vinijr,Cracked,instagram
vinijr,We miss fantastic vinicius,instagram
vinijr,Young King,instagram
vinijr,Vinii continues like this,instagram
vinijr,Bila wide,instagram
vinijr,Dear player congratulations warrior is playing too much hallamadridynadamas,instagram
vinijr,Wow brazil,instagram
vinijr,Gg,instagram
vinijr,I love you wines,instagram
vinijr,I really like Real and Brazil,instagram
vinijr,Best Vini,instagram
vinijr,NUMBER ONE,instagram
vinijr,I love you wines,instagram
vinijr,Lay in the game yesterday,instagram
vinijr,Abdel,instagram
vinijr,Besides cat plays a lot,instagram
vinijr,Vamoos,instagram
vinijr,Thé movement for the third goal was everything,instagram
vinijr,In Madrid is vinicius jr is already football,instagram
vinijr,BjornGoudsblom Feb 2,instagram
vinijr,I NEED U BOYYYY,instagram
vinijr,OUR BEAUTIFUL AND MADRIER,instagram
vinijr,Gigante,instagram
vinijr,Beautiful life passion love you,instagram
vinijr,Ajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,instagram
vinijr,I love you so much keep going my hero,instagram
vinijr,teamo wines,instagram
vinijr,You and the goat,instagram
vinijr,I love you wines,instagram
vinijr,now if you returned with all viniii cute game you made today,instagram
vinijr,mito,instagram
vinijr,Let's Vini,instagram
vinijr,Bh this gee he dey rush o barca dey wait am,instagram
vinijr,We are with you vinijr your strength and resilience inspires us,instagram
vinijr,disco this way Bota,instagram
vinijr,Lindooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,instagram
vinijr,Gigante,instagram
vinijr,q man pqp,instagram
vinijr,Prince you are soooo beautiful love you knew emanate many positive energies I get too sad with these disgusting attacks of these worms in relation to you that these fdps are punished for your crime,instagram
vinijr,Lindoooooooo,instagram
vinijr,angry,instagram
vinijr,Gato,instagram
