player,comment,media
samueletoo,2 GOAT,instagram
samumtiti,Vocation,instagram
marcelotwelve,OC Marcelo,instagram
antony00,Penaldo fans in 321,instagram
marcusrashford,Man on fire,instagram
vinijr,Cracked,instagram
marcusrashford,On,instagram
samumtiti,PUMA,instagram
vinijr,Photon,instagram
toniruediger,toniruediger why do you always insult barca even though you just got on fire you are like a child who is hurting,instagram
samumtiti,CAME TO BESİKTAS samumtiti,instagram
marcusrashford,Jonaspersson99,instagram
luissuarez9,A star and the bottom sun,instagram
samumtiti,Out,instagram
marcelotwelve,Two true legends,instagram
luissuarez9,I want your daughter Luisito,instagram
samumtiti,So that if you don't even play Umtiti,instagram
vinijr,Lehmannleo remembers in 2016 ok the race will fly was just a matter of time,instagram
samumtiti,Wizkidayo Burrnao Ginger umtiti,instagram
andressaalves9oficial,Corinthians and his home,instagram
samumtiti,Vocation,instagram
marcusrashford,Best Player,instagram
luissuarez9,I'm going to miss you lucho because,instagram
antony00,Comvocaddooooooopp,instagram
antony00,Mirajadam24 How do you say you,instagram
vinijr,GIGANTE,instagram
marcelotwelve,Tf is wrong with your hair,instagram
samumtiti,Vocation,instagram
marcelotwelve,Marcelo 12,instagram
vinijr,One hour you are there dude riba the head that comes later,instagram
marega11,Come to Fenerbahçe Marega,instagram
vinijr,Thanks for making me happy I love you vini,instagram
marcelotwelve,marcelotwelve,instagram
sterling7,Be the voice of the people of iran,instagram
antogriezmann,Please,instagram
jeffersonlerma,lifeproteses robsonmelli,instagram
samumtiti,out,instagram
antony00,Give a moral,instagram
jeffersonlerma,Brother if you have a book come to come to Galatasaray amk,instagram
danialves,Made justice be done,instagram
diego.costa,Vms there our sergipano we are cheering for you,instagram
marcelotwelve,My dream is to see you in Flu doing L with Op Kano,instagram
samumtiti,Idolo,instagram
mujaids4,Good face,instagram
marcusrashford,All the best for tomorrows game,instagram
marcusrashford,A hat Trick against City my boy,instagram
vinijr,And no reporter turned on,instagram
danialves,Botafogo,instagram
luissuarez9,But Suárez's daughter,instagram
marcusrashford,MBE,instagram
danialves,CarolinaMorand I think it's the mother -in -law but there are people who talk about God from the mouth,instagram
marcelotwelve,Adoring,instagram
marcusrashford,The boy,instagram
toniruediger,Until the end,instagram
williaaaams11,Great Iñaki how you have to be aita and love you deserve the best,instagram
marcelotwelve,Take for FLU,instagram
marega11,You deserve it,instagram
diego.costa,Lizard,instagram
luissuarez9,You are an excellent player,instagram
samumtiti,My brother is living life,instagram
mouctar_dkh,Diakha is going to leave it Vamosss,instagram
danialves,So Brazilian it does not even produce text in its language of origin,instagram
mouctar_dkh,I love you and we love you,instagram
jeffersonlerma,Come to Galatasaray,instagram
mouctar_dkh,Gradle,instagram
samumtiti,But if you are not going to use them,instagram
toniruediger,ARAUJO SPRINTER Didnt you see him coming,instagram
samumtiti,Come to Beşiktaş,instagram
marcelotwelve,Hello,instagram
marcusrashford,Thank you Rashford Brilliance is you and you is Brilliance,instagram
samumtiti,Mantul Sam,instagram
jeffersonlerma,jefferson lerma GALATASARAY,instagram
sterling7,We know that you will do this beautifulact to protest against racism we areproud of you and you have kept alivethe voice of the people who wereoppressed by cruel people Thesedays our Iran is under torture andkilling and Iran is ruled by raciststhey kill our tenyearold children inthe streetPlease tomorrow in front of theIranian team be the voice of usIranians give us a sign to know thatyou are our voice in the world showus that the world of sports is stillniceBe our voice,instagram
samumtiti,No one loves you in the club neither players nor technicians nor hobby outside,instagram
samumtiti,No t ready you in ft,instagram
samumtiti,Keep going sam,instagram
samumtiti,soufian barcelona,instagram
danialves,I don't want to know anything else,instagram
neymarjr,Eternal,instagram
