player,comment,media
vinijr,Vini AMA MADRID! 🤍 Hay uno solo! 🤍,instagram
vinijr,😝😝😝😝😝,instagram
vinijr,🔥⚡️❤️,instagram
vinijr,🕺🏽💫,instagram
vinijr,🤍🤍,instagram
vinijr,🤍🤍🤍🤍,instagram
vinijr,E o Brasil ama o Vini. 💛✊🏿,instagram
vinijr,Hermanito⭐️,instagram
vinijr,Vini siempre 🤍,instagram
vinijr,🥹,instagram
vinijr,👏🏽,instagram
vinijr,Madrid AMA @vinijr 🔥,instagram
vinijr,Te queremosssss👏🤍,instagram
vinijr,Corre animal 🤍,instagram
vinijr,LETS GOOOOOO,instagram
vinijr,Baila irmão! 😍,instagram
vinijr,"Te amooooo, tu é brabo ❤️❤️❤️",instagram
vinijr,Vini hay uno solo! 👏🏼😍🕺🏾,instagram
vinijr,Deus honra o justo ❤️,instagram
vinijr,Bailaaa 🕺🏻😍🔥,instagram
vinijr,felicidade nego 🕺🏿🇧🇷,instagram
vinijr,🔥🔥,instagram
vinijr,Bailaaaa ❤️,instagram
vinijr,🔥🔥🔥,instagram
vinijr,🙌🏼🤍,instagram
vinijr,🔥🔥🔥,instagram
vinijr,Baila Mlk vini ❤️❤️❤️😍😍😍,instagram
vinijr,VAMÔ! 🤍,instagram
vinijr,👏👏👏,instagram
vinijr,Boss⚡️💥,instagram
vinijr,Pra cima delesssss 🤍,instagram
vinijr,Zé AMA O VINI 💛,instagram
vinijr,👏🙌,instagram
vinijr,Nosso dançarino 🕺🏽 ❤️,instagram
vinijr,❤️❤️,instagram
vinijr,Craque sou teu fã irmão ❤️❤️❤️,instagram
vinijr,Brabo 👑✊🏾,instagram
vinijr,🤩🔥,instagram
vinijr,"Broca, dança y baila 🔥🔥👏👏😍",instagram
vinijr,🙌🙌❤️,instagram
vinijr,ídolo.,instagram
vinijr,Baila mlk 😍,instagram
vinijr,Joga muito 👏🏽👏🏽,instagram
vinijr,Craque,instagram
vinijr,Tome!!! ❤️,instagram
vinijr,Monstro ✊🏿⚡️,instagram
vinijr,Monstro!!!!!,instagram
vinijr,👏🏽👏🏽👏🏽,instagram
vinijr,Nosso Monstrooooo❤️❤️❤️,instagram
vinijr,Brilhaaaa ✨🚀,instagram
vinijr,Braboooooo ❤️,instagram
vinijr,Pra cima sempre 🫶🏾🤍,instagram
vinijr,"Mais uma noite calando um bando de otário. Pra cima deles, @vinijr 📸💪🏽⚽️!",instagram
vinijr,"Boa moleque!A resposta a esses babacas, vc deu em campo.Baila y baila🔥🔥🔥",instagram
vinijr,❤️,instagram
vinijr,eu emociono 👏,instagram
vinijr,Vamos!👏🔥,instagram
vinijr,Baila e baila 👊🏾😜,instagram
vinijr,é isso meu manoooo🕺🏽🤣❤️❤️❤️❤️,instagram
vinijr,Baila vini🖤🖤🖤,instagram
vinijr,Vini out,instagram
vinijr,@karimbenzema +@official_pepe 👉👌👉👌👉👌👉👌👉👌👉👌👉👌👉👌👉💦💦👉👌👉👌👉👌👉👌👉👌👉👌👉💦💦💦👉👌👉👌👉👌👉👌👉👌👉💦💦💦💦=@vinijr,instagram
vinijr,Craque✌,instagram
vinijr,Vem jogar no CURINTHIANS 🖤🖤🤍🤍🤍😍😍😍,instagram
vinijr,"BAILA VINI, BAILA. 🕺🏻🕺🏻🕺🏻",instagram
vinijr,"cheers Vini, don't think about everyone who insults you, we really idolize you here🔥🔥🔥🔥🔥",instagram
vinijr,Vini. Admiro y respeto la fuerza que tienes y la resistencia con todos los ataques rasistas hacia tu persona. Animo! 💪🏻. Lo irónico es que tu cumples un sueño dentro del campo y los que critican están aplastados en su sillón o escondiéndose en una red social jeje.,instagram
vinijr,get out from real madrid,instagram
vinijr,Sabes jugar al fútbol? Un niño juega mejor que tú🤬🤬🤬,instagram
vinijr,@anu_vind_r  evde muthe,instagram
vinijr,Baile Vini! HalaMadri y NadaMas,instagram
vinijr,Pace 95🔥🔥🔥,instagram
vinijr,jogador  carooo👏❤️❤️❤️❤️,instagram
vinijr,"eres el causante de todos los desastres que pasan en el Real Madrid, eres el causante de tropiezos y tristezas, los adultos se afligen y los niños lloran por tu insignificancia, por ti el Barcelona amplió la diferencia a cinco puntos, Los madridistas nunca te lo perdonarán.",instagram
vinijr,Hoy no bailas??😂😂😂 más malo q la carne de perro,instagram
vinijr,Todo el día en el suelo joder. Mete ya un gol eres el delantero q menos goles metes,instagram
vinijr,❤️💫💫💫💫💫💫,instagram
vinijr,Volta pro flamengo vini jr a gnt te ama😭😭😭😭😭😭,instagram
vinijr,🖕🏼🖕🏼🖕🏼🖕🏼,instagram
vinijr,Crack🔥🔥👏 @vinijr,instagram
vinijr,baila vini bailaaaaaaaaaaaaaaaa,instagram
vinijr,Y nosotros amamos a Vini 🤍,instagram
vinijr,Baddest player in the world🤮🤮,instagram
vinijr,Stop dancing n play fucking football💩,instagram
vinijr,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,instagram
vinijr,MADRID TE AMA,instagram
vinijr,"Cabeça erguida,Vini. Eles querem nos intimidar mas só ficamos mais fortes👏🏾👏🏾👏🏾",instagram
vinijr,"Muito craque! Baila, Vini! 🔥🕺🏽",instagram
vinijr,😍,instagram
vinijr,Pra cima meu caroto,instagram
vinijr,HALA MADRID VINIGOD 🇧🇷 🐐 🔥🔥🔥🤍🤍🤍,instagram
vinijr,"Representando os pretos, te amamos menino rei! ✊🏾👊🏾👑",instagram
vinijr,Kontol loba lagu sia bangsat,instagram
vinijr,🤍,instagram
vinijr,HALA MADRID,instagram
vinijr,🔥🔥🔥,instagram
vinijr,Baila neles!!!!👏,instagram
vinijr,"Vc é dez menino!Continua firme e forte!Infelizmente o sucesso incomoda!Vc é excelente jogador! Deixa pra lá então,essas palavras de gente sem noção. Os brasileiros estão torcendo por todos vcs aí fora. Vai craque,tu és show de bola e ninguém muda isso!",instagram
vinijr,🤮🤮🤮🤮🤮,instagram
vinijr,✊🏾🔥 futeboll é arte!! Se divirta home ⚽💪🏾,instagram
vinijr,Vc é muito craque!!! Pena q a mídia espanhola é uma bost@,instagram
vinijr,GET OUT FROM MADRID FUCK!!!,instagram
vinijr,You're literally just trash player and you should go to clubs like Cadiz and besiktas,instagram
vinijr,🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼,instagram
vinijr,puta 🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻,instagram
vinijr,🖕🖕🖕🤬Stupid and foolish you don't understand anything in football get out of Madrid we don't need you,instagram
vinijr,Perde muito gol slc,instagram
vinijr,Você sabe jogar futebol? Um menino joga melhor que você🤬,instagram
vinijr,NAÇÃO AMA VINI❤️🖤,instagram
vinijr,"Overrated player, pls go another club",instagram
vinijr,You can’t score?😡,instagram
vinijr,"Caráter pequeno, a vida cobrará sempre. Continua dançando e continuaremos sendo seu pesadelo!",instagram
vinijr,"Que decepción yo te defendía ,pero como se puede defender a un tio que se ríe mientras maltratan a un gato🤮",instagram
vinijr,🫶🏼,instagram
vinijr,😍😍😍,instagram
vinijr,Aprende a tirar a puerta @vinijr y déjate de hablar y discutir,instagram
vinijr,🔥🙌👏,instagram
vinijr,Quédate siempre aquí ❤️❤️❤️,instagram
vinijr,How can you be open that big mouth and teeth laughing when you miss chances,instagram
vinijr,Si el Real Madrid enserio buscara un delantero De elite Jamas estuvieras alli pero como ese tal florentino ya esta viejo .. tenemos que aguantarte enserio que jamas vas a tener defenicion 🤬🤬🤬😡😤🤮🤮🤮,instagram
vinijr,Papoite,instagram
vinijr,There are something in football named as a passsssssssssssssssss 😡😡😡😡,instagram
vinijr,O futebol hoje fez justiça! Merece ❤️,instagram
vinijr,Não vai entrega Vini quero ver caixa sua no mundial sem vacilação,instagram
vinijr,Vini is fcck🤬,instagram
vinijr,😡😡😡😡😡,instagram
vinijr,🖕🏼🖕🏼🖕🏼🖕🏼,instagram
vinijr,🖕🏼,instagram
vinijr,🖕🏻🖕🏻🖕🏻,instagram
vinijr,🖕🖕🖕🖕🖕🍋🍋🤮,instagram
vinijr,🤮🤮🤮🤮🤮,instagram
vinijr,🤮🤮🤮🤮🤮🤮,instagram
vinijr,🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,instagram
vinijr,🤮🤮🤮🤮,instagram
vinijr,"Eres una estafa de jugador,fallas lo infalyable y pierdes pases más q nadie,en cuanto venga mbappe se te acabo",instagram
vinijr,🖕🖕🖕💩💩💩💩💩,instagram
vinijr,Out 😡😡😡😡😡🖕🏻,instagram
