player,comment,media
romelulukaku,Ready to go. @Inter,instagram
romelulukaku,🔥🔥🔥,instagram
romelulukaku,🖤💙,instagram
romelulukaku,Meraviglioso,instagram
romelulukaku,KING IS BACK🖤💙🖤💙🖤💙,instagram
romelulukaku,"You insult the great club of Chelsea, it’s good that you left On a loan. We don’t want your petty disrespect at our club anymore",instagram
romelulukaku,ora devi spaccare ste cazzo di porte.DAI BIG ROM 🖤💙,instagram
romelulukaku,bro...with all the club's you been to it's hard to comprehend that you a few trophies to show for it..that means it you who is the problem.. please don't come to Chelsea.. you never fill drogba's shoes..its an insult saying you were the next drogba,instagram
romelulukaku,"Don't insult a club which you still have a  contract signed for,  you could end up returning next season",instagram
romelulukaku,"Chelsea worst sign ever , we don't want you back to Stamford Bridge",instagram
romelulukaku,My word,instagram
romelulukaku,🦍🦍🦍 back at it,instagram
romelulukaku,97 Jay Z 🔥,instagram
romelulukaku,Bow down to the King 🖤💙👑,instagram
romelulukaku,🐍 🐍 🐍 🐍 🐍 🐍 dead player anyway… we are glad you left with your lakaka touch,instagram
romelulukaku,Shiit Didier drogba 🚮,instagram
romelulukaku,Thank you ❤️🖤 💙,instagram
romelulukaku,Romeluu,instagram
romelulukaku,Return of the King 🔥👑,instagram
romelulukaku,🖤💙,instagram
romelulukaku,I actullay can’t stand this RAT hope he never wears a Chelsea top again! Worse signing in the history of Chelsea football club. Was nothing but a bad virus when he realised he was not good enough to be considered as elite in the prem!,instagram
romelulukaku,Small club player,instagram
romelulukaku,LAKAKA,instagram
romelulukaku,🖤💙,instagram
romelulukaku,Lakaka lakaka lakaka,instagram
romelulukaku,Shit footballer so overrated,instagram
romelulukaku,Non vedo l'ora che Ibra ti spacchi una volta per tutte,instagram
romelulukaku,🔥🔥🔥💙🖤,instagram
romelulukaku,RE🖤💙,instagram
romelulukaku,🤡🤡,instagram
romelulukaku,Ben Ritornato Romelu 🖤💙,instagram
